iter	Passed	Remaining
564	1054	811
565	1056	809
566	1057	807
567	1060	806
568	1062	804
569	1065	803
570	1067	801
571	1068	799
572	1070	797
573	1072	795
574	1074	794
575	1076	792
576	1078	790
577	1080	789
578	1082	787
579	1084	785
580	1086	783
581	1087	781
582	1089	779
583	1093	778
584	1095	777
585	1100	777
586	1102	775
587	1104	773
588	1106	772
589	1108	770
590	1110	768
591	1112	766
592	1114	764
593	1116	762
594	1118	761
595	1119	758
596	1121	756
597	1122	754
598	1124	752
599	1125	750
600	1127	748
601	1128	746
602	1130	744
603	1131	741
604	1133	739
605	1135	738
606	1137	736
607	1138	734
608	1140	731
609	1141	729
610	1143	727
611	1144	725
612	1146	723
613	1148	721
614	1149	719
615	1152	718
616	1154	716
617	1155	714
618	1157	712
619	1158	710
620	1160	708
621	1161	705
622	1163	703
623	1164	701
624	1166	699
625	1167	697
626	1169	695
627	1172	694
628	1174	692
629	1175	690
630	1177	688
631	1179	686
632	1180	684
633	1182	682
634	1184	680
635	1185	678
636	1187	676
637	1189	674
638	1191	673
639	1192	670
640	1194	668
641	1195	666
642	1197	664
643	1199	662
644	1200	660
645	1202	658
646	1203	656
647	1205	654
648	1207	653
649	1209	651
650	1211	649
651	1213	647
652	1214	645
653	1216	643
654	1217	641
655	1219	639
656	1221	637
657	1222	635
658	1224	633
659	1226	631
660	1228	629
661	1230	628
662	1232	626
663	1233	624
664	1235	622
665	1237	620
666	1238	618
667	1240	616
668	1241	614
669	1243	612
670	1245	610
671	1247	608
672	1249	607
673	1251	605
674	1252	603
675	1254	601
676	1255	599
677	1257	597
678	1259	595
679	1260	593
680	1262	591
681	1264	589
682	1266	587
683	1268	586
684	1270	584
685	1271	582
686	1273	580
687	1274	578
688	1276	576
689	1278	574
690	1280	572
691	1282	570
692	1284	568
693	1285	566
694	1287	565
695	1289	563
696	1290	561
697	1292	559
698	1293	557
699	1295	555
700	1296	553
701	1298	551
702	1299	549
703	1301	547
704	1303	545
705	1304	543
706	1306	541
707	1308	539
708	1310	537
709	1311	535
710	1313	533
711	1314	531
712	1316	529
713	1318	528
714	1320	526
715	1321	524
716	1323	522
717	1325	520
718	1326	518
719	1328	516
720	1329	514
721	1331	512
722	1332	510
723	1334	508
724	1336	506
725	1338	505
726	1340	503
727	1342	501
728	1343	499
729	1345	497
730	1347	495
731	1348	493
732	1350	491
733	1352	490
734	1353	488
735	1355	486
736	1357	484
737	1359	482
738	1360	480
739	1362	478
740	1363	476
741	1365	474
742	1366	472
743	1368	470
744	1370	468
745	1371	466
746	1373	465
747	1375	463
748	1377	461
749	1378	459
750	1380	457
751	1381	455
752	1383	453
753	1384	451
754	1386	449
755	1387	447
756	1389	446
757	1391	444
758	1393	442
759	1395	440
760	1396	438
761	1398	436
762	1399	434
763	1401	432
764	1403	431
765	1405	429
766	1406	427
767	1408	425
768	1410	423
769	1412	421
770	1413	419
771	1415	418
772	1417	416
773	1419	414
774	1421	412
775	1422	410
776	1424	408
777	1425	406
778	1427	404
779	1429	403
780	1431	401
781	1433	399
782	1434	397
783	1436	395
784	1438	393
785	1439	391
786	1441	390
787	1442	388
788	1444	386
789	1445	384
790	1447	382
791	1449	380
792	1451	378
793	1453	377
794	1454	375
795	1456	373
796	1458	371
797	1459	369
798	1461	367
799	1462	365
800	1464	363
801	1465	361
802	1468	360
803	1470	358
804	1471	356
805	1473	354
806	1474	352
807	1476	350
808	1478	348
809	1479	347
810	1481	345
811	1482	343
812	1484	341
813	1486	339
814	1487	337
815	1489	335
816	1491	333
817	1492	332
818	1494	330
819	1495	328
820	1497	326
821	1498	324
822	1500	322
823	1501	320
824	1503	318
825	1505	317
826	1506	315
827	1508	313
828	1510	311
829	1511	309
830	1513	307
831	1514	305
832	1516	304
833	1518	302
834	1520	300
835	1521	298
836	1523	296
837	1525	294
838	1527	293
839	1529	291
840	1531	289
841	1532	287
842	1534	285
843	1535	283
844	1537	281
845	1538	280
846	1540	278
847	1542	276
848	1543	274
849	1545	272
850	1546	270
851	1548	268
852	1549	267
853	1551	265
854	1552	263
855	1554	261
856	1555	259
857	1556	257
858	1558	255
859	1559	253
860	1561	252
861	1562	250
862	1564	248
863	1565	246
864	1567	244
865	1568	242
866	1570	240
867	1571	239
868	1573	237
869	1574	235
870	1576	233
871	1578	231
872	1580	229
873	1581	228
874	1583	226
875	1585	224
876	1586	222
877	1588	220
878	1589	218
879	1591	216
880	1592	215
881	1594	213
882	1595	211
883	1597	209
884	1598	207
885	1600	205
886	1601	204
887	1603	202
888	1604	200
889	1606	198
890	1607	196
891	1609	194
892	1610	193
893	1612	191
894	1613	189
895	1615	187
896	1617	185
897	1618	183
898	1620	182
899	1621	180
900	1623	178
901	1624	176
902	1626	174
903	1627	172
904	1629	171
905	1630	169
906	1632	167
907	1633	165
908	1635	163
909	1636	161
910	1638	160
911	1639	158
912	1641	156
913	1642	154
914	1644	152
915	1645	150
916	1647	149
917	1648	147
918	1650	145
919	1651	143
920	1653	141
921	1655	140
922	1656	138
923	1658	136
924	1659	134
925	1661	132
926	1662	130
927	1664	129
928	1665	127
929	1667	125
930	1668	123
931	1670	121
932	1671	120
933	1673	118
934	1675	116
935	1675	114
936	1677	112
937	1678	110
938	1680	109
939	1681	107
940	1683	105
941	1685	103
942	1686	101
943	1688	100
944	1689	98
945	1691	96
946	1693	94
947	1695	93
948	1697	91
949	1699	89
950	1701	87
951	1702	85
952	1704	84
953	1706	82
954	1707	80
955	1709	78
956	1711	76
957	1712	75
958	1714	73
959	1715	71
960	1717	69
961	1718	67
962	1720	66
963	1722	64
964	1723	62
965	1725	60
966	1726	58
967	1728	57
968	1729	55
969	1731	53
970	1732	51
971	1734	49
972	1735	48
973	1737	46
974	1738	44
975	1740	42
976	1741	41
977	1743	39
978	1744	37
979	1746	35
980	1748	33
981	1749	32
982	1751	30
983	1753	28
984	1754	26
985	1756	24
986	1758	23
987	1759	21
988	1761	19
989	1763	17
990	1764	16
991	1766	14
992	1767	12
993	1769	10
994	1770	8
995	1772	7
996	1773	5
997	1775	3
998	1776	1
999	1778	0
